imagesize,2994,4500
#p,51.3123,-.6267,1727,1835
#p,51.3137,-.6238,2046,1781
#p,51.3105,-.6263,1632,2083
#p,51.3128,-.6212,2195,1995
#p,51.2930,-.6264,492,4153
p,51.3212,-.6205,2814,982
p,51.3173,-.6462,584,411
#p,51.3119,-.6236,1936,2020	
p,51.3055,-.6261,1319,2694
#p,51.3077,-.6112,2625,3065 
p,51.3162,-.6191,2614,1685
p,51.3184,-.6289,1975,966		
#p,51.3025,-.6339,549,2730
#p,51.3015,-.6397,43,2620 
#p,51.3091,-.6092,2888,2980
#p,51.2986,-.6059,2407,4346
p,51.3106,-.6278,1526,1997	
p,51.3196,-.6188,2851,1243	
p,51.3156,-.6294,1746,1315
p,51.3128,-.6284,1633,1718
p,51.3206,-.6201,2828,1070
p,51.3196,-.6221,2598,1106
#p,51.3135,-.6465,294,908
#p,51.2979,-.6212,1193,3786
p,51.3142,-.6318,1449,1394
#p,51.2979,-0.6104,2034,4296
p,51.3215,-0.6190,2973,1002
p,51.3081,-0.6087,2845,3126

