imagesize,2994,4500
#p,51.3007,-0.5989,718,4494
#p,51.3091,-0.5792,2500,4476
p,51.3084,-0.5940,1317,3852
#p,51.3101,-0.5836,2222,4164
p,51.3076,-0.6053,458,3409
#p,51.3122,-0.5943,1563,3390
#p,51.3072,-0.5886,1640,4238
p,51.3123,-0.5994,1194,3142
#p,51.3075,-0.5936,1288,3980
p,51.3099,-0.6033,742,3235
#p,51.3124,-0.6022,996,2998
#p,51.3115,-0.5869,2080,3824
p,51.3196,-0.6211,63,1308
p,51.3221,-0.6049,1475,1748
p,51.3127,-0.6064,709,2795
p,51.3116,-0.6140,110,2588
p,51.3153,-0.6053,961,2532
p,51.3242,-0.6061,1538,1443
p,51.3221,-0.6098,1107,1540
p,51.3206,-0.6056,1305,1892
