imagesize,2994,4500
#p,51.3118,-0.5729,602,4345
#p,51.3121,-0.5712,752,4382
#p,51.3108,-0.5729,537,4464
#p,51.3119,-0.5743,502,4281
#p,51.3137,-0.5691,988,4312
p,51.3133,-0.5679,1105,4456
p,51.3162,-0.5669,1327,4132
p,51.3168,-0.5640,1578,4197
p,51.3169,-0.5601,1889,4377
p,51.3200,-0.5506,2808,4463
p,51.3212,-0.5511,2865,4304
p,51.3235,-0.5536,2841,3918
#p,51.3263,-0.5566,2813,3446
#p,51.3276,-0.5564,2930,3296
#p,51.3299,-0.5589,2914,2913
#p,51.3324,-0.5608,2955,2507
#p,51.3411,-0.5799,2060,637
#p,51.3455,-0.5745,2852,280
#p,51.3253,-0.5841,698,2330
#p,51.3232,-0.5845,611,2549
#p,51.3230,-0.5816,729,2703
#p,51.3216,-0.5808,689,2894
#p,51.3348,-0.5758,1983,1589
#p,51.3266,-0.5740,1520,2616
#p,51.3424,-0.5839,1913,314
#p,51.3196,-0.5854,235,2921
#p,51.3223,-0.5865,336,2573
#p,51.3204,-0.5823,503,2963
#p,51.3235,-0.5836,612,2550
#p,51.3230,-0.5816,729,2703
#p,51.3263,-0.5894,384,1991
#p,51.3354,-0.5868,1180,1027
#p,51.3340,-0.5684,2461,2002
#p,51.3267,-0.5818,952,2262
#p,51.3410,-0.5742,2536,856
#p,51.3352,-0.5802,1664,1317
#p,51.3285,-0.5864,744,1872
#p,51.3320,-0.5754,1804,1918
#p,51.3319,-0.5726,1993,2043

