imagesize,8758,10905,,
os,NC600100,657,1243
os,NC700100,2516,1237
os,NC800100,4383,1230
os,NC900100,6249,1222
os,NC990100,7928,1214
os,NC600000,662,3125
os,NC700000,2522,3115
os,NC800000,4389,3106
os,NC900000,6257,3097
os,NC990000,7937,3089
os,NH600900,669,5000
os,NH700900,2531,4991
os,NH800900,4398,4983
os,NH900900,6266,4975
os,NH990900,7943,4967
os,NH600800,676,6877
os,NH700800,2537,6868
os,NH800800,4404,6861
os,NH900800,6271,6853
os,NH990800,7950,6845
os,NH600700,682,8753
os,NH700700,2544,8745
os,NH800700,4410,8738
os,NH900700,6278,8729
os,NH990700,7955,8722
os,NH600650,685,9694
os,NH700650,2547,9687
os,NH800650,4413,9680
os,NH900650,6281,9674
os,NH990650,7959,9668

